,index,approveDate,commentBody,commentID,commentSequence,commentTitle,commentType,createDate,depth,editorsSelection,isAnonymous,parentID,parentUserDisplayName,permID,picURL,recommendations,recommendedFlag,replies,replyCount,status,trusted,updateDate,userDisplayName,userID,userLocation,userTitle,userURL
0,0,1575562380,"In our ""progressively"" run NYC, this will provide would-be criminals with great opportunities.  And why not?  As long as the victim isn't killed, no bail, and, most likely, no jail.  If said criminal comes to his court date, Mets tickets will be his or her, or their likely punishment.  Glory days we're living in here.",103962996,103962996,<br\//>,comment,1575472610,1,False,False,,,103962996,,2,0,[],0,approved,0,1576117156,Chas,84519537,New York,NULL,NULL
1,1,1575561922,Can someone explain how 300 or 500 or 1000 (or more) of these tiny things clogging the traffic is better than 30 trucks?,103983870,103983870,<br\//>,comment,1575549956,1,False,False,,,103983870,,1,0,[],0,approved,0,1575566157,Steve,76440532,NY,NULL,NULL
2,2,1575561920,The root cause is rampant consumerism and not shopping locally and being physically lazy.,103984489,103984489,<br\//>,comment,1575551839,1,False,False,,,103984489,,3,0,[],0,approved,0,1575703200,George,76056040,Toronto,NULL,NULL
3,3,1575552979,"Crazy that we can't have (a) more curbside commercial loading areas and (b) more protected bike lanes and bicycle / pedestrian infrastructure at the same time.

Why we have so much free private vehicle storage on the most valuable urban land in the world (AKA status quo street parking) blows my mind.",103984960,103984960,<br\//>,comment,1575552979,1,False,False,,,103984960,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-a88c5f166452502ba8e42059f1d4401b9c60f7cccef843f03d920f68d2aa5836.jpg,1,0,[],0,approved,0,1575853208,James,69467990,Virginia,NULL,NULL
4,4,1575552294,"Interesting piece, but it is remarkable that there is nothing in the story that describes how the cargo bikes operate.  Are they powered solely by pedaling, or do they have electric motors as well?  What is their maximum speed?  How wide are they? These questions are all relevant to deciding where they can safely be operated and particularly they should be using bike lanes and sidewalks.",103984661,103984661,<br\//>,comment,1575552293,1,False,False,,,103984661,,2,0,[],0,approved,0,1575853233,Bruce Smith,47099663,"Portland, Maine",NULL,NULL
5,5,1575548464,"Yet another indication that for New York income-based stratification has taken society back into the 19th century.  Imagine the scornful looks that some East Side princess will give one of these wallahs if she's held up in her imperial progress, as if he or she were lower than dirt.  Another brick in the classist wall and nothing to celebrate.",103982404,103982404,<br\//>,comment,1575541738,1,False,False,,,103982404,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-a721eebd45795ba68626a292d0143b639a9a557a6fc27bc912009a330284f916.jpg,2,0,[],0,approved,0,1575551693,Tournachonadar,10293673,Illiana,NULL,NULL
6,6,1575547241,"Even in my hilly, cold town cargo bikes are making an impact. These bikes are evolving into something that can be used for much more than hauling cargo, including riding ""school buses."" 

In Copenhagen, rush hour is quiet and orderly, with most commuters using various forms of bikes, including cargo bikes with 2 or 3 kids in a large seating area in front or in back going to school, or bringing their work necessities. These bikes work, and many thousands of people use bikes every work day of the year. 

The United States is behind northern Europe, but in the age of climate change it is time to catch up.",103983204,103983204,<br\//>,comment,1575547240,1,False,False,,,103983204,,5,0,[],0,approved,0,1576483044,Nancy Braus,79433397,Putney. VT,NULL,NULL
7,7,1575545411,"Thank you for bringing attention to this issue. How about setting up a system to reduce / eliminate all of the packaging and boxes that are used. Could a system like the one you see at Walgreens or CVS be developed by fed ex, UPS and USPS? Use a standard 3 or 4 sizes of reusable plastic crates to deliver goods in. The crate could also be locked (maybe by chip that only opens with a smartphone or combo that the seller providers the buyer). After the goods are received the crate goes back to the provider. The trucks that deliver now go back empty. Each of the major companies could have a different color so return is easy.  This hard plastic container (made from recycled plastic) would reduce damages, be reusable, prevent theft because it locks, and due to the standard sizes it should stack well and create some efficiencies when Lodi g trucks and bikes. How about floating that idea to the big 3 delivery companies. Maybe pilot it is some cities or zip codes to start. We must do something! We can no longer ignore the wasteful packaging associated with our new way of consuming goods.",103982879,103982879,<br\//>,comment,1575545409,1,False,False,,,103982879,,4,0,"[{'commentID': 103984453, 'status': 'approved', 'commentSequence': 103984453, 'userID': 76056040, 'userDisplayName': 'George', 'userLocation': 'Toronto', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': 'How about people shop locally. Buy from your community and buy less', 'createDate': '1575551770', 'updateDate': '1575853355', 'approveDate': '1575562389', 'recommendations': 4, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103982879, 'parentUserDisplayName': 'Stephen', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103984453', 'isAnonymous': False}]",1,approved,0,1575853341,Stephen,51918028,"Manhattan, NYC",NULL,NULL
8,8,1575521452,"Almost since the introduction of the automobile, New York has been trying to figure out how to get around traffic jams.

For a few years during the 1920s there were even attempts to use motorcycles as ambulances with the stretchers strapped to the side car.",103980457,103980457,<br\//>,comment,1575521452,1,False,False,,,103980457,,1,0,[],0,approved,0,1575653017,Steve,41188,New York,NULL,NULL
9,9,1575504062,We’ve had them for years in Denmark.  Glad the US is catching up with the rest of the world.,103964265,103964265,<br\//>,comment,1575475761,1,False,False,,,103964265,,5,0,[],0,approved,0,1576483077,Tom In Copenhagen,69399268,Denmark,NULL,NULL
